CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Num,totalspent,HasSpent,CabinShared,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_P,Side_S
0,0.702659968849623,0,-0.3424887360426837,-0.2801459933777758,-0.28358421159086017,-0.2711491501374767,-0.2628735806788396,0,0,-0.5160858847499172,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0,-0.33273543303149056,0,-0.1715749727064187,-0.27453216692160365,-0.2423434118940496,0.2269233877281519,-0.22432393250617533,1,0,-0.25200953595085857,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,2.014160811232367,1,-0.27506404041461585,1.9504143852079519,-0.28358421159086017,5.820940270204411,-0.2199432906683726,0,0,3.2093281500063684,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0,0.2885018080971776,0,-0.3424887360426837,0.5201361558743183,0.32842925590980915,2.749039335390169,-0.09378080573965313,0,0,1.3410597421304196,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0,-0.8849463140347511,0,0.13262016570858512,-0.23648289871865918,-0.034489781422124145,0.24143916296649445,-0.2611213239437185,1,1,-0.12463575358174737,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,1.047791769476661,0,-0.3424887360426837,0.021129359770128718,-0.28358421159086017,-0.0071434879901216474,-0.2628735806788396,1,0,-0.23837515924655933,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0,-0.1946827127806754,0,-0.2766320565920128,0.679818330627659,-0.2786353156272429,-0.2711491501374767,-0.2628735806788396,1,2,0.05225234418718733,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,-0.05662999252986025,0,-0.3424887360426837,-0.2801459933777758,-0.28358421159086017,-0.2711491501374767,-0.2628735806788396,1,0,-0.5160858847499172,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
0,0.42655452834799273,0,-0.3424887360426837,0.2095044252994603,-0.255540467797029,-0.07518618441985234,-0.2628735806788396,1,3,-0.15082810882948008,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,-1.0229990342855662,0,-0.3424887360426837,-0.2801459933777758,-0.28358421159086017,-0.2711491501374767,-0.2628735806788396,1,1,-0.5160858847499172,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,0.35752816822258515,0,-0.3424887360426837,-0.2801459933777758,-0.28358421159086017,-0.2711491501374767,-0.2628735806788396,1,1,-0.5160858847499172,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0,1.1168181296020685,0,-0.2813361051242036,4.270172228597303,0.6880490292659976,-0.1713531953738717,-0.1542336631013312,1,1,2.410640714643998,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
